date,close,open,highest,lowest,volume,rate,_index
2023-01-25,11313.36,11146.53,11334.22,11069.17,924.72M,-0.18%,nsdq
2023-01-24,11334.27,11302.93,11378.15,11282.65,914.95M,-0.27%,nsdq
2023-01-23,11364.41,11171.94,11405.5,11144.03,1.05B,2.01%,nsdq
2023-01-20,11140.43,10924.66,11143.17,10885.64,1.16B,2.66%,nsdq
2023-01-19,10852.27,10890.4,10932.52,10804.57,905.21M,-0.96%,nsdq
2023-01-18,10957.01,11170.95,11223.41,10952.05,986.97M,-1.24%,nsdq
2023-01-17,11095.11,11070,11145.44,11024.72,990.06M,0.14%,nsdq
2023-01-13,11079.16,10906.37,11084.01,10900.16,919.66M,0.71%,nsdq
2023-01-12,11001.11,10969.26,11027.75,10797.12,1.03B,0.64%,nsdq
2023-01-11,10931.67,10794.99,10932.44,10762.73,1.01B,1.76%,nsdq
2023-01-10,10742.63,10607.72,10743.67,10589.59,888.70M,1.01%,nsdq
2023-01-09,10635.65,10662.11,10807.26,10619.12,1.04B,0.63%,nsdq
2023-01-06,10569.29,10363.96,10604.14,10265.04,970.67M,2.56%,nsdq
2023-01-05,10305.24,10390.31,10393.22,10295.25,957.48M,-1.47%,nsdq
2023-01-04,10458.76,10467.82,10515.22,10337.64,1.04B,0.69%,nsdq
2023-01-03,10386.99,10562.06,10613.06,10309.16,983.36M,-0.76%,nsdq
2022-12-30,10466.48,10368.37,10468.31,10324.7,850.56M,-0.11%,nsdq
2022-12-29,10478.09,10321.46,10502.08,10301.06,894.54M,2.59%,nsdq
2022-12-28,10213.29,10339.2,10414.82,10207.47,751.52M,-1.35%,nsdq
2022-12-27,10353.23,10462.19,10472.32,10340.73,753.05M,-1.38%,nsdq
2022-12-23,10497.86,10437.75,10514.76,10361.82,678.03M,0.21%,nsdq
2022-12-22,10476.12,10586.46,10599.34,10313.32,974.20M,-2.18%,nsdq
2022-12-21,10709.37,10592,10753.57,10569.2,937.40M,1.54%,nsdq
2022-12-20,10547.11,10490.89,10609.46,10446.82,972.31M,0.01%,nsdq
2022-12-19,10546.03,10707.44,10713.97,10497.55,1.04B,-1.49%,nsdq
2022-12-16,10705.41,10767.63,10833.24,10642.1,3.28B,-0.97%,nsdq
2022-12-15,10810.53,11012.62,11029.57,10775.61,1.16B,-3.23%,nsdq
2022-12-14,11170.89,11248.09,11352.09,11065.24,1.12B,-0.76%,nsdq
2022-12-13,11256.81,11542.84,11571.64,11160.54,1.24B,1.01%,nsdq
2022-12-12,11143.74,11015.48,11144.67,10984.82,955.14M,1.26%,nsdq
2022-12-09,11004.62,11038.17,11138.7,10999.26,867.24M,-0.70%,nsdq
2022-12-08,11082,11011.33,11119.16,10939.47,832.95M,1.13%,nsdq
2022-12-07,10958.55,10963.95,11039.81,10910.62,828.48M,-0.51%,nsdq
2022-12-06,11014.89,11228.42,11241.42,10956.2,888.70M,-2.00%,nsdq
2022-12-05,11239.94,11380.99,11425.51,11193.03,885.18M,-1.93%,nsdq
2022-12-02,11461.5,11308.38,11492.32,11296.72,859.61M,-0.18%,nsdq
2022-12-01,11482.45,11475.17,11546.77,11378.75,912.53M,0.13%,nsdq
2022-11-30,11468,10995.2,11468.47,10966.53,1.62B,4.41%,nsdq
2022-11-29,10983.78,11060.02,11086.02,10944.37,783.46M,-0.59%,nsdq
2022-11-28,11049.5,11147.57,11217.75,11020.69,811.96M,-1.58%,nsdq
2022-11-25,11226.36,11231,11261.57,11206.38,377.17M,-0.52%,nsdq
2022-11-23,11285.32,11174.61,11310.82,11174.61,695.12M,0.99%,nsdq
2022-11-22,11174.41,11058.56,11179.87,10975.66,758.80M,1.36%,nsdq
2022-11-21,11024.51,11091.01,11128.78,10999.75,765.20M,-1.09%,nsdq
2022-11-18,11146.06,11257.01,11259.44,11059.16,846.40M,0.01%,nsdq
2022-11-17,11144.96,11008.67,11198.84,11006.21,837.39M,-0.35%,nsdq
2022-11-16,11183.66,11260.09,11286.1,11162.92,887.82M,-1.54%,nsdq
2022-11-15,11358.41,11474.82,11492.62,11241.15,1.04B,1.45%,nsdq
2022-11-14,11196.22,11233.9,11350.13,11167.17,983.39M,-1.12%,nsdq
2022-11-11,11323.33,11124.75,11352.43,11069.83,1.21B,1.88%,nsdq
2022-11-10,11114.15,10869.17,11119.12,10779.95,1.40B,7.35%,nsdq
2022-11-09,10353.17,10528.45,10564.97,10344.01,1.04B,-2.48%,nsdq
2022-11-08,10616.2,10611.53,10745.64,10472.73,994.35M,0.49%,nsdq
2022-11-07,10564.52,10516.94,10587.96,10428.91,930.25M,0.85%,nsdq
2022-11-04,10475.25,10548.14,10553.63,10262.93,1.09B,1.28%,nsdq
2022-11-03,10342.94,10399.45,10486.01,10319.54,1.01B,-1.73%,nsdq
2022-11-02,10524.8,10885.01,10993.24,10522.9,1.10B,-3.36%,nsdq
2022-11-01,10890.84,11154.74,11156.35,10881.19,903.26M,-0.89%,nsdq
2022-10-31,10988.15,11028.43,11047.94,10914,1.08B,-1.03%,nsdq
2022-10-28,11102.45,10766.2,11117.04,10766.2,977.64M,2.87%,nsdq
2022-10-27,10792.67,10971.95,10998.73,10780.5,973.52M,-1.63%,nsdq
2022-10-26,10970.99,10969.02,11205.84,10948.38,1.00B,-2.04%,nsdq
2022-10-25,11199.12,10996.97,11210.38,10996.97,991.08M,2.25%,nsdq
2022-10-24,10952.61,10867.07,10983.52,10713.33,921.20M,0.86%,nsdq
2022-10-21,10859.72,10576.04,10875.72,10542.43,1.02B,2.31%,nsdq
2022-10-20,10614.84,10657.41,10837.3,10574.55,866.25M,-0.61%,nsdq
2022-10-19,10680.51,10689.31,10808.04,10592.88,921.13M,-0.85%,nsdq
2022-10-18,10772.4,10963.99,10972.97,10670.12,929.62M,0.90%,nsdq
2022-10-17,10675.8,10575.65,10696.59,10569.69,944.31M,3.43%,nsdq
2022-10-14,10321.39,10742.81,10766.68,10308.81,918.04M,-3.08%,nsdq
2022-10-13,10649.15,10131.82,10697.71,10088.83,1.05B,2.23%,nsdq
2022-10-12,10417.1,10437,10494.53,10372.21,823.61M,-0.09%,nsdq
2022-10-11,10426.19,10484.37,10608.84,10351.98,990.74M,-1.10%,nsdq
2022-10-10,10542.1,10659.95,10669.93,10449.04,812.52M,-1.04%,nsdq
2022-10-07,10652.41,10877.28,10891.93,10608.52,1.03B,-3.80%,nsdq
2022-10-06,11073.31,11129.04,11230.44,11051.27,873.35M,-0.68%,nsdq
2022-10-05,11148.64,11022.67,11210.32,10910.76,830.23M,-0.25%,nsdq
2022-10-04,11176.41,11054.72,11189.96,11044.04,1.02B,3.34%,nsdq
2022-10-03,10815.43,10659.01,10875.46,10577.89,943.34M,2.27%,nsdq
2022-09-30,10575.62,10697.71,10883.04,10572.33,1.10B,-1.51%,nsdq
2022-09-29,10737.51,10894.44,10899.47,10623.22,971.92M,-2.84%,nsdq
2022-09-28,11051.64,10817.53,11101.5,10776.34,953.34M,2.05%,nsdq
2022-09-27,10829.5,10955.29,11040.99,10741.02,903.37M,0.25%,nsdq
2022-09-26,10802.92,10833.38,11024,10789.05,949.63M,-0.60%,nsdq
2022-09-23,10867.93,10952.69,10958.29,10732.72,1.00B,-1.80%,nsdq
2022-09-22,11066.8,11167.38,11203.77,11024.64,934.35M,-1.37%,nsdq
2022-09-21,11220.19,11466.21,11613.57,11219,909.35M,-1.79%,nsdq
2022-09-20,11425.05,11440.14,11520.99,11343.72,861.66M,-0.95%,nsdq
2022-09-19,11535.02,11338.57,11538.13,11337.83,932.68M,0.76%,nsdq
2022-09-16,11448.4,11401.21,11460.43,11316.92,3.05B,-0.90%,nsdq
2022-09-15,11552.36,11633.24,11760.73,11497.11,1.03B,-1.43%,nsdq
2022-09-14,11719.68,11680.41,11746.83,11602.76,1.05B,0.74%,nsdq
2022-09-13,11633.57,11908.81,11957.97,11604.43,1.10B,-5.16%,nsdq
2022-09-12,12266.41,12174.94,12270.19,12169.28,845.28M,1.27%,nsdq
2022-09-09,12112.31,11958.61,12132.67,11958.61,881.47M,2.11%,nsdq
2022-09-08,11862.13,11679.86,11896.73,11660.53,875.83M,0.60%,nsdq
2022-09-07,11791.9,11559.38,11819.07,11555.08,897.12M,2.14%,nsdq
2022-09-06,11544.91,11643.03,11679.43,11471.5,945.53M,-0.74%,nsdq
2022-09-02,11630.86,11899.14,11945.91,11573.51,868.07M,-1.31%,nsdq
